ID,calle_colo,delegacion,cp,tipo,precio,moneda,lat,lon,AREA_CONST,RECAMARAS,BANOS,No_de_piso,Edad_inmue,Jardin,Cisterna,Seguridad,Zona priva,Alberca,Lavanderí,Terraza,Gimnasio,Cuarto de,Chimenea,Sótano,Aire acond,Elevador,Urbanizado,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,CVE_MZA,TIPOMZA,CVE_MZA1,CPV_VIVTOT,CPV_VPH_C_,CPV_VPH_AE,CPV_VPH_DR,CPV_VPH__1,CPV_Prop_e,CPV_Prop_a,CPV_Prop_d,CPV_Prop_s
28772737,ADOLFO PRIETO,Benito Juárez,3200,Casa en condominio,"9,500,000",MXN,19.376821300000000,-99.1746778,165,3,4,4,1,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,09,014,0001,0721,003,Típica,01400010721003,319.000000000000000,277,277,277,277,86.833855799372998,86.833855799372998,86.833855799372998,86.833855799372998
27804669,AV TOLUCA #411Int. 59,Álvaro Obregón,1780,Casa en condominio,"7,450,000",MXN,19.339229300000000,-99.2189838,230,3,3,3,13,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,09,010,0001,1171,049,Típica,01000011171049,979.000000000000000,888,887,887,887,90.704800817160404,90.602655771195103,90.602655771195103,90.602655771195103
28660612,Avenida Jesús del Monte 300,Cuajimalpa de Morelos,5260,Casa en condominio,"4,250,000",MXN,19.366728400000000,-99.2934588,165,3,3,1,16,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,09,004,0001,0301,001,Contenedora,00400010301001,230.000000000000000,223,223,223,223,96.956521739130395,96.956521739130395,96.956521739130395,96.956521739130395
28799275,Calle Latinos 82 #82,Benito Juárez,3510,Casa en condominio,"6,500,000",MXN,19.396044819574819,-99.1328165,170,4,2,3,7,VERDADERO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,09,014,0001,0153,001,Típica,01400010153001,38.000000000000000,35,35,35,35,92.105263157894697,92.105263157894697,92.105263157894697,92.105263157894697
28661094,Cerrada de Bezares 100,Miguel Hidalgo,11910,Casa en condominio,"8,900,000",MXN,19.390981499999999,-99.2439166,190,3,2,1,16,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,09,016,0001,1300,027,Típica,01600011300027,55.000000000000000,31,31,31,31,56.363636363636402,56.363636363636402,56.363636363636402,56.363636363636402
28661483,Cerrada del Olivarito 0 - 0,Álvaro Obregón,1780,Casa en condominio,"16,500,000",MXN,19.339229300000000,-99.2189838,490,5,4,1,32,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,09,010,0001,1171,049,Típica,01000011171049,979.000000000000000,888,887,887,887,90.704800817160404,90.602655771195103,90.602655771195103,90.602655771195103
28251712,GUADALUPE I RAMIREZ #5693,Xochimilco,16030,Casa en condominio,"5,600,000",MXN,19.269396837062342,-99.12908707,133,2,2,2,10,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,09,013,0001,0067,011,Típica,01300010067011,50.000000000000000,45,45,45,45,90.000000000000000,90.000000000000000,90.000000000000000,90.000000000000000
28756873,La Castañeda,Benito Juárez,3910,Casa en condominio,"6,490,000",MXN,19.372333500000000,-99.1905974,142,3,3,3,11,FALSO,VERDADERO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,09,014,0001,0685,011,Típica,01400010685011,38.000000000000000,37,37,37,37,97.368421052631604,97.368421052631604,97.368421052631604,97.368421052631604
27285281,LA JOYA #233Int. 4,Tlalpan,14600,Casa en condominio,"5,750,000",MXN,19.279039399999998,-99.1421561,236,3,3,2,1,FALSO,VERDADERO,VERDADERO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,09,012,0001,1068,009,Típica,01200011068009,140.000000000000000,127,127,127,127,90.714285714285694,90.714285714285694,90.714285714285694,90.714285714285694
26639651,Paseo de las lilas #15,Cuajimalpa de Morelos,5120,Casa en condominio,"28,000,000",MXN,19.393786217428797,-99.24604172,450,3,3,2,10,FALSO,VERDADERO,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,09,016,0001,1300,012,Típica,01600011300012,339.000000000000000,197,196,197,197,58.112094395280202,57.817109144542798,58.112094395280202,58.112094395280202
28723724,20 de noviembre #69,Iztapalapa,9700,Casa,"2,870,000",MXN,19.331612000000000,-99.047386,251,4,3,1,39,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,09,007,0001,3030,021,Típica,00700013030021,39.000000000000000,37,30,37,37,94.871794871794918,76.923076923076906,94.871794871794918,94.871794871794918
28660477,Av. San Jerónimo 1300,La Magdalena Contreras,10200,Casa,"5,900,000",MXN,19.326136999999999,-99.226107,215,3,2,1,29,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,09,008,0001,0122,008,Típica,00800010122008,34.000000000000000,34,34,34,34,100.000000000000000,100.000000000000000,100.000000000000000,100.000000000000000
28625397,Ayuntamiento #191,Coyoacán,4310,Casa,"11,200,000",MXN,19.342687906574174,-99.1698657,350,4,3,2,40,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,09,003,0001,0272,025,Típica,00300010272025,47.000000000000000,40,40,40,40,85.106382978723403,85.106382978723403,85.106382978723403,85.106382978723403
28712309,_,La Magdalena Contreras,10500,Casa,"6,000,000",MXN,19.312367299999998,-99.2353589,237,3,2,1,30,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,09,008,0001,025A,007,Típica,0080001025A007,155.000000000000000,144,144,144,144,92.903225806451601,92.903225806451601,92.903225806451601,92.903225806451601
28666085,Calzada de las Águilas,Álvaro Obregón,1810,Casa,"8,200,000",MXN,19.381240600000002,-99.2245579,297,3,2,2,1,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,09,010,0001,1932,025,Típica,01000011932025,21.000000000000000,21,21,21,21,100.000000000000000,100.000000000000000,100.000000000000000,100.000000000000000
28101857,CAM A AHUANTECO,Cuajimalpa de Morelos,5000,Casa,"7,180,000",MXN,19.355750700000002,-99.2993504,300,4,4,2,25,VERDADERO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,09,004,0001,0091,003,Típica,00400010091003,184.000000000000000,163,163,163,163,88.586956521739097,88.586956521739097,88.586956521739097,88.586956521739097
28662419,Camino Real 5200,Álvaro Obregón,1700,Casa,"18,500,000",MXN,19.341893700000000,-99.2245237,618,3,3,1,34,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,09,010,0001,1171,055,Típica,01000011171055,580.000000000000000,526,525,525,525,90.689655172413794,90.517241379310306,90.517241379310306,90.517241379310306
28660275,Cerrada de las Fuentes 100a,Álvaro Obregón,1900,Casa,"22,890,000",MXN,19.320575200000000,-99.2092897,513,4,4,1,26,FALSO,FALSO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,09,010,0001,1260,009,Típica,01000011260009,66.000000000000000,58,55,58,58,87.878787878787904,83.333333333333300,87.878787878787904,87.878787878787904
28715860,Cerrada Margaritas 40 #40,Álvaro Obregón,1030,Casa,"9,850,000",MXN,19.363412799999999,-99.1783654,240,3,2,2,45,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,09,010,0001,1006,020,Típica,01000011006020,91.000000000000000,66,66,66,66,72.527472527472497,72.527472527472497,72.527472527472497,72.527472527472497
28662761,Desierto de los Leones 4900,Álvaro Obregón,1700,Casa,"15,500,000",MXN,19.341893700000000,-99.2245237,500,4,5,1,40,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,09,010,0001,1171,055,Típica,01000011171055,580.000000000000000,526,525,525,525,90.689655172413794,90.517241379310306,90.517241379310306,90.517241379310306
28846897,Doctor Atl 280 #280,Cuauhtémoc,6400,Casa,"9,000,000",MXN,19.453031500000002,-99.1556117,270,3,3,2,1,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,09,015,0001,0470,002,Típica,01500010470002,231.000000000000000,187,187,187,187,80.952380952380906,80.952380952380906,80.952380952380906,80.952380952380906
28546746,,Coyoacán,4815,Casa,"4,690,000",MXN,19.315686500000002,-99.1073581,280,4,4,1,1,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,09,003,0001,1406,025,Típica,00300011406025,43.000000000000000,40,40,40,40,93.023255813953497,93.023255813953497,93.023255813953497,93.023255813953497
28831015,Encino Grande 180 #180,Álvaro Obregón,1700,Casa,"9,600,000",MXN,19.339622800000001,-99.2270986,301,3,5,2,1,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,09,010,0001,1858,030,Típica,01000011858030,947.000000000000000,904,899,904,904,95.459345300950403,94.931362196409694,95.459345300950403,95.459345300950403
28661936,Fuente de la Luz 100,Tlalpan,14140,Casa,"24,900,000",MXN,19.305708200000002,-99.2266013,1150,5,4,1,20,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,09,012,0001,0017,006,Típica,01200010017006,23.000000000000000,21,21,21,21,91.304347826086996,91.304347826086996,91.304347826086996,91.304347826086996
28659940,Granada 100,Xochimilco,16100,Casa,"4,300,000",MXN,19.255328100000000,-99.1303962,291,4,2,1,25,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,09,013,0001,0298,004,Típica,01300010298004,311.000000000000000,282,276,283,282,90.675241157556300,88.745980707395503,90.996784565916400,90.675241157556300
28778690,,Gustavo A. Madero,7800,Casa,"5,950,000",MXN,19.470084900000000,-99.1297611,246,4,3,1,1,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,09,005,0001,1580,022,Típica,00500011580022,43.000000000000000,38,38,38,38,88.372093023255815,88.372093023255815,88.372093023255815,88.372093023255815
28625645,,Gustavo A. Madero,7300,Casa,"15,789,000",MXN,19.490208400000000,-99.124236,519,12,8,1,1,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,09,005,0001,0968,003,Típica,00500010968003,43.000000000000000,35,35,35,35,81.395348837209298,81.395348837209298,81.395348837209298,81.395348837209298
28631858,Lomas Altas,Miguel Hidalgo,11950,Casa,"53,000,000",MXN,19.400595299999999,-99.2279876,448,4,3,1,1,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,09,016,0001,1283,005,Típica,01600011283005,473.000000000000000,171,171,171,171,36.152219873150102,36.152219873150102,36.152219873150102,36.152219873150102
28722938,MIGUEL LERDO DE TEJADA #268,Álvaro Obregón,1020,Casa,"22,500,000",MXN,19.353556000000001,-99.18615,750,7,4,1,1,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,09,010,0001,1059,023,Típica,01000011059023,41.000000000000000,33,33,33,33,80.487804878048806,80.487804878048806,80.487804878048806,80.487804878048806
28662554,Montaña 400,Coyoacán,4500,Casa,"20,500,000",MXN,19.307951200000002,-99.1968277,955,3,5,1,41,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,09,003,0001,1105,009,Típica,00300011105009,4.000000000000000,4,4,4,4,100.000000000000000,100.000000000000000,100.000000000000000,100.000000000000000
27427313,Naranjos 16 #16,La Magdalena Contreras,10400,Casa,"8,250,000",MXN,19.318781200000000,-99.2282531,400,4,3,2,45,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,09,008,0001,018A,009,Típica,0080001018A009,19.000000000000000,18,18,18,18,94.736842105263193,94.736842105263193,94.736842105263193,94.736842105263193
28762827,,Álvaro Obregón,1780,Casa,"6,600,000",MXN,19.340934900000001,-99.205763,203,3,2,1,1,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,09,010,0001,1222,016,Típica,01000011222016,58.000000000000000,56,56,56,56,96.551724137931004,96.551724137931004,96.551724137931004,96.551724137931004
27586526,Paseo del Rocio Lomas de Vista Hermosa,Cuajimalpa de Morelos,5100,Casa,"10,500,000",MXN,19.376360099999999,-99.2684457,319,4,4,3,50,FALSO,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,09,004,0001,0049,001,Típica,00400010049001,332.000000000000000,310,309,310,310,93.373493975903600,93.072289156626496,93.373493975903600,93.373493975903600
23701112,PEDREGAL DE SAN FRANCISCO,Coyoacán,4320,Casa,"12,850,000",MXN,19.338804600000000,-99.1691413,306,1,3,1,33,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,09,003,0001,0431,016,Típica,00300010431016,17.000000000000000,15,15,15,15,88.235294117647101,88.235294117647101,88.235294117647101,88.235294117647101
23965760,PEDREGAL DE SAN FRANCISCO,Coyoacán,4320,Casa,"29,900,000",MXN,19.338804600000000,-99.1691413,564,4,3,2,40,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,09,003,0001,0431,016,Típica,00300010431016,17.000000000000000,15,15,15,15,88.235294117647101,88.235294117647101,88.235294117647101,88.235294117647101
27926439,Pino,Álvaro Obregón,1030,Casa,"24,900,000",MXN,19.362990557071896,-99.17650252,326,3,3,2,13,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,09,010,0001,1006,018,Típica,01000011006018,22.000000000000000,19,19,19,19,86.363636363636402,86.363636363636402,86.363636363636402,86.363636363636402
28567032,Plaza rio san carlos,Iztapalapa,9030,Casa,"11,000,000",MXN,19.387256199999999,-99.0889919,300,6,4,1,1,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,09,007,0001,0093,011,Típica,00700010093011,116.000000000000000,107,107,107,107,92.241379310344797,92.241379310344797,92.241379310344797,92.241379310344797
28651106,Primer Retorno de Sierra Itambe,Miguel Hidalgo,11700,Casa,"2,600,000",USD,19.391411900000001,-99.265523,1200,3,4,1,20,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,09,004,0001,0176,016,Contenedora,00400010176016,487.000000000000000,473,464,467,466,97.125256673511302,95.277207392197099,95.893223819301795,95.687885010266896
28651107,Primer Retorno de Sierra Itambe,Miguel Hidalgo,11920,Casa,"2,600,000",USD,19.396345199999999,-99.2397156,1200,3,4,1,20,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,09,016,0001,1300,014,Típica,01600011300014,90.000000000000000,68,68,68,68,75.555555555555600,75.555555555555600,75.555555555555600,75.555555555555600
21872833,Renovación,Iztapalapa,9209,Casa,"2,100,000",MXN,19.371356919000000,-99.04867887,250,6,3,1,31,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,09,007,0001,465A,013,Típica,0070001465A013,36.000000000000000,36,36,36,36,100.000000000000000,100.000000000000000,100.000000000000000,100.000000000000000
28545932,Residencial Emperadores,Benito Juárez,3320,Casa,"18,000,000",MXN,19.370394900000001,-99.1546152,530,10,6,1,1,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,09,014,0001,0774,025,Típica,01400010774025,99.000000000000000,84,84,84,84,84.848484848484802,84.848484848484802,84.848484848484802,84.848484848484802
28662434,Retorno 100 del Tepozteco 43,Tlalpan,14608,Casa,"19,900,000",MXN,19.278060100000001,-99.146999,480,4,4,1,5,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,VERDADERO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,09,012,0001,2121,021,Contenedora,01200012121021,1175.000000000000000,1081,815,1081,1079,92.000000000000000,69.361702127659598,92.000000000000000,91.829787234042499
28566972,San Angel,Álvaro Obregón,1000,Casa,"49,000,000",MXN,19.345423600000000,-99.1936871,750,4,4,1,9,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,09,010,0001,1129,003,Típica,01000011129003,33.000000000000000,26,26,26,26,78.787878787878796,78.787878787878796,78.787878787878796,78.787878787878796
27905272,san francisco  #34,La Magdalena Contreras,10200,Casa,"7,999,980",MXN,19.326136999999999,-99.226107,224,3,3,2,9,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,09,008,0001,0122,008,Típica,00800010122008,34.000000000000000,34,34,34,34,100.000000000000000,100.000000000000000,100.000000000000000,100.000000000000000
25032574,Santiago Rebull,Benito Juárez,3910,Casa,"6,950,000",MXN,19.371857700000000,-99.1904438,146,2,2,1,1,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,09,014,0001,0685,016,Típica,01400010685016,37.000000000000000,34,34,34,34,91.891891891891902,91.891891891891902,91.891891891891902,91.891891891891902
26093789,Sierra Ixtlán,Miguel Hidalgo,11000,Casa,"33,000,000",MXN,19.409124296839565,-99.22578402,509,7,4,3,40,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,09,016,0001,1052,028,Típica,01600011052028,18.000000000000000,16,16,16,16,88.888888888888900,88.888888888888900,88.888888888888900,88.888888888888900
28062807,Sierra Ventana,Miguel Hidalgo,11000,Casa,"60,000,000",MXN,19.425935500000001,-99.2211701,1052,3,3,1,35,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,09,016,0001,0868,001,Típica,01600010868001,16.000000000000000,14,14,14,14,87.500000000000000,87.500000000000000,87.500000000000000,87.500000000000000
28232776,TOWN HOUSE CON ROOF PRIVADO EN CONDOMINIO DE 4 VECINOS,Cuauhtémoc,6760,Casa,"11,305,350",MXN,19.405298999999999,-99.1649891,143,3,2,3,1,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,09,015,0001,145A,008,Típica,0150001145A008,22.000000000000000,20,20,20,20,90.909090909090907,90.909090909090907,90.909090909090907,90.909090909090907
28610397,_,Benito Juárez,3104,Departamento,"7,000,000",MXN,19.367940300000001,-99.169486,103,2,2,1,1,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,09,014,0001,0810,005,Típica,01400010810005,309.000000000000000,290,290,290,290,93.851132686084100,93.851132686084100,93.851132686084100,93.851132686084100
28684820,Adolfo López Mateos #1753,Álvaro Obregón,1600,Departamento,"4,750,000",MXN,19.366149873296916,-99.19158541,71,2,2,1,1,FALSO,FALSO,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,09,010,0001,0845,015,Típica,01000010845015,24.000000000000000,20,20,20,20,83.333333333333300,83.333333333333300,83.333333333333300,83.333333333333300
16052498,Amores,Benito Juárez,3103,Departamento,"4,950,000",MXN,19.396263999999999,-99.1636594,97,2,2,1,5,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,09,014,0001,0242,006,Típica,01400010242006,266.000000000000000,227,227,227,227,85.338345864661719,85.338345864661719,85.338345864661719,85.338345864661719
27923503,Anaxagoras,Benito Juárez,3020,Departamento,"6,725,000",MXN,19.388220000000000,-99.157526,109,2,2,1,1,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,09,014,0001,0261,022,Típica,01400010261022,204.000000000000000,165,165,165,165,80.882352941176507,80.882352941176507,80.882352941176507,80.882352941176507
28830906,Anillo Periférico 4091 #4091,Tlalpan,14140,Departamento,"3,600,000",MXN,19.308368099999999,-99.218957,108,3,2,4,1,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,09,012,0001,2066,001,Contenedora,01200012066001,42.000000000000000,34,33,34,34,80.952380952380906,78.571428571428598,80.952380952380906,80.952380952380906
